title,authors,published,summary,url
Research Directions for Verifiable Crypto-Physically Secure TEEs,Sylvain Bellemare,2024-10-04,"A niche corner of the Web3 world is increasingly making use of hardware-based
Trusted Execution Environments (TEEs) to build decentralized infrastructure.
One of the motivations to use TEEs is to go beyond the current performance
limitations of cryptography-based alternatives such as zero-knowledge proofs
(ZKP), fully homomorphic encryption (FHE), and multi-party computation (MPC).
Despite their appealing advantages, current TEEs suffer from serious
limitations as they are not secure against physical attacks, and their
attestation mechanism is rooted in the chip manufacturer's trust. As a result,
Web3 applications have to rely on cloud infrastruture to act as trusted
guardians of hardware-based TEEs and have to accept to trust chip
manufacturers. This work aims at exploring how we could potentially architect
and implement chips that would be secure against physical attacks and would not
require putting trust in chip manufacturers. One goal of this work is to
motivate the Web3 movement to acknowledge and leverage the substantial amount
of relevant hardware research that already exists. In brief, a combination of:
(1) physical unclonable functions (PUFs) to secure the root-of-trust; (2)
masking and redundancy techniques to secure computations; (3) open source
hardware and imaging techniques to verify that a chip matches its expected
design; can help move towards attesting that a given TEE can be trusted without
the need to trust a cloud provider and a chip manufacturer.",http://arxiv.org/pdf/2410.03183v1
Can Watermarked LLMs be Identified by Users via Crafted Prompts?,"Aiwei Liu, Sheng Guan, Yiming Liu, Leyi Pan, Yifei Zhang, Liancheng Fang, Lijie Wen, Philip S. Yu, Xuming Hu",2024-10-04,"Text watermarking for Large Language Models (LLMs) has made significant
progress in detecting LLM outputs and preventing misuse. Current watermarking
techniques offer high detectability, minimal impact on text quality, and
robustness to text editing. However, current researches lack investigation into
the imperceptibility of watermarking techniques in LLM services. This is
crucial as LLM providers may not want to disclose the presence of watermarks in
real-world scenarios, as it could reduce user willingness to use the service
and make watermarks more vulnerable to attacks. This work is the first to
investigate the imperceptibility of watermarked LLMs. We design an
identification algorithm called Water-Probe that detects watermarks through
well-designed prompts to the LLM. Our key motivation is that current
watermarked LLMs expose consistent biases under the same watermark key,
resulting in similar differences across prompts under different watermark keys.
Experiments show that almost all mainstream watermarking algorithms are easily
identified with our well-designed prompts, while Water-Probe demonstrates a
minimal false positive rate for non-watermarked LLMs. Finally, we propose that
the key to enhancing the imperceptibility of watermarked LLMs is to increase
the randomness of watermark key selection. Based on this, we introduce the
Water-Bag strategy, which significantly improves watermark imperceptibility by
merging multiple watermark keys.",http://arxiv.org/pdf/2410.03168v1
FedCert: Federated Accuracy Certification,"Minh Hieu Nguyen, Huu Tien Nguyen, Trung Thanh Nguyen, Manh Duong Nguyen, Trong Nghia Hoang, Truong Thao Nguyen, Phi Le Nguyen",2024-10-04,"Federated Learning (FL) has emerged as a powerful paradigm for training
machine learning models in a decentralized manner, preserving data privacy by
keeping local data on clients. However, evaluating the robustness of these
models against data perturbations on clients remains a significant challenge.
Previous studies have assessed the effectiveness of models in centralized
training based on certified accuracy, which guarantees that a certain
percentage of the model's predictions will remain correct even if the input
data is perturbed. However, the challenge of extending these evaluations to FL
remains unresolved due to the unknown client's local data. To tackle this
challenge, this study proposed a method named FedCert to take the first step
toward evaluating the robustness of FL systems. The proposed method is designed
to approximate the certified accuracy of a global model based on the certified
accuracy and class distribution of each client. Additionally, considering the
Non-Independent and Identically Distributed (Non-IID) nature of data in
real-world scenarios, we introduce the client grouping algorithm to ensure
reliable certified accuracy during the aggregation step of the approximation
algorithm. Through theoretical analysis, we demonstrate the effectiveness of
FedCert in assessing the robustness and reliability of FL systems. Moreover,
experimental results on the CIFAR-10 and CIFAR-100 datasets under various
scenarios show that FedCert consistently reduces the estimation error compared
to baseline methods. This study offers a solution for evaluating the robustness
of FL systems and lays the groundwork for future research to enhance the
dependability of decentralized learning. The source code is available at
https://github.com/thanhhff/FedCert/.",http://arxiv.org/pdf/2410.03067v1
Towards Universal Certified Robustness with Multi-Norm Training,"Enyi Jiang, Gagandeep Singh",2024-10-03,"Existing certified training methods can only train models to be robust
against a certain perturbation type (e.g. $l_\infty$ or $l_2$). However, an
$l_\infty$ certifiably robust model may not be certifiably robust against $l_2$
perturbation (and vice versa) and also has low robustness against other
perturbations (e.g. geometric transformation). To this end, we propose the
first multi-norm certified training framework \textbf{CURE}, consisting of a
new $l_2$ deterministic certified training defense and several multi-norm
certified training methods, to attain better \emph{union robustness} when
training from scratch or fine-tuning a pre-trained certified model. Further, we
devise bound alignment and connect natural training with certified training for
better union robustness. Compared with SOTA certified training, \textbf{CURE}
improves union robustness up to $22.8\%$ on MNIST, $23.9\%$ on CIFAR-10, and
$8.0\%$ on TinyImagenet. Further, it leads to better generalization on a
diverse set of challenging unseen geometric perturbations, up to $6.8\%$ on
CIFAR-10. Overall, our contributions pave a path towards \textit{universal
certified robustness}.",http://arxiv.org/pdf/2410.03000v1
A Simple Method for Secret-Key Generation Between Mobile Users Across Networks,Yingbo Hua,2024-10-03,"Two or more mobiles users can continuously superimpose sequences of bits
chosen from different packets or files already exchanged and authenticated
between themselves to continuously renew a secret key for continuous
strengthening of their privacy and authentication. This accumulative, adaptable
and additive (AAA) method is discussed in this paper. The equivocation to Eve
of any bit in the generated key by the AAA method equals to the probability
that not all corresponding independent bits exchanged between the users are
intercepted by Eve. This performance, achieved without using any knowledge of
non-stationary probabilities of bits being intercepted by Eve, is compared to
an established capacity achievable using that knowledge. A secrecy robustness
of the AAA method against some correlations known to Eve is also discussed.",http://arxiv.org/pdf/2410.02964v1
Safeguard is a Double-edged Sword: Denial-of-service Attack on Large Language Models,"Qingzhao Zhang, Ziyang Xiong, Z. Morley Mao",2024-10-03,"Safety is a paramount concern of large language models (LLMs) in their open
deployment. To this end, safeguard methods aim to enforce the ethical and
responsible use of LLMs through safety alignment or guardrail mechanisms.
However, we found that the malicious attackers could exploit false positives of
safeguards, i.e., fooling the safeguard model to block safe content mistakenly,
leading to a new denial-of-service (DoS) attack on LLMs. Specifically, by
software or phishing attacks on user client software, attackers insert a short,
seemingly innocuous adversarial prompt into to user prompt templates in
configuration files; thus, this prompt appears in final user requests without
visibility in the user interface and is not trivial to identify. By designing
an optimization process that utilizes gradient and attention information, our
attack can automatically generate seemingly safe adversarial prompts,
approximately only 30 characters long, that universally block over 97\% of user
requests on Llama Guard 3. The attack presents a new dimension of evaluating
LLM safeguards focusing on false positives, fundamentally different from the
classic jailbreak.",http://arxiv.org/pdf/2410.02916v1
Fine-Tuning Language Models with Differential Privacy through Adaptive Noise Allocation,"Xianzhi Li, Ran Zmigrod, Zhiqiang Ma, Xiaomo Liu, Xiaodan Zhu",2024-10-03,"Language models are capable of memorizing detailed patterns and information,
leading to a double-edged effect: they achieve impressive modeling performance
on downstream tasks with the stored knowledge but also raise significant
privacy concerns. Traditional differential privacy based training approaches
offer robust safeguards by employing a uniform noise distribution across all
parameters. However, this overlooks the distinct sensitivities and
contributions of individual parameters in privacy protection and often results
in suboptimal models. To address these limitations, we propose ANADP, a novel
algorithm that adaptively allocates additive noise based on the importance of
model parameters. We demonstrate that ANADP narrows the performance gap between
regular fine-tuning and traditional DP fine-tuning on a series of datasets
while maintaining the required privacy constraints.",http://arxiv.org/pdf/2410.02912v1
Universally Optimal Watermarking Schemes for LLMs: from Theory to Practice,"Haiyun He, Yepeng Liu, Ziqiao Wang, Yongyi Mao, Yuheng Bu",2024-10-03,"Large Language Models (LLMs) boosts human efficiency but also poses misuse
risks, with watermarking serving as a reliable method to differentiate
AI-generated content from human-created text. In this work, we propose a novel
theoretical framework for watermarking LLMs. Particularly, we jointly optimize
both the watermarking scheme and detector to maximize detection performance,
while controlling the worst-case Type-I error and distortion in the watermarked
text. Within our framework, we characterize the universally minimum Type-II
error, showing a fundamental trade-off between detection performance and
distortion. More importantly, we identify the optimal type of detectors and
watermarking schemes. Building upon our theoretical analysis, we introduce a
practical, model-agnostic and computationally efficient token-level
watermarking algorithm that invokes a surrogate model and the Gumbel-max trick.
Empirical results on Llama-13B and Mistral-8$\times$7B demonstrate the
effectiveness of our method. Furthermore, we also explore how robustness can be
integrated into our theoretical framework, which provides a foundation for
designing future watermarking systems with improved resilience to adversarial
attacks.",http://arxiv.org/pdf/2410.02890v1
SteerDiff: Steering towards Safe Text-to-Image Diffusion Models,"Hongxiang Zhang, Yifeng He, Hao Chen",2024-10-03,"Text-to-image (T2I) diffusion models have drawn attention for their ability
to generate high-quality images with precise text alignment. However, these
models can also be misused to produce inappropriate content. Existing safety
measures, which typically rely on text classifiers or ControlNet-like
approaches, are often insufficient. Traditional text classifiers rely on
large-scale labeled datasets and can be easily bypassed by rephrasing. As
diffusion models continue to scale, fine-tuning these safeguards becomes
increasingly challenging and lacks flexibility. Recent red-teaming attack
researches further underscore the need for a new paradigm to prevent the
generation of inappropriate content. In this paper, we introduce SteerDiff, a
lightweight adaptor module designed to act as an intermediary between user
input and the diffusion model, ensuring that generated images adhere to ethical
and safety standards with little to no impact on usability. SteerDiff
identifies and manipulates inappropriate concepts within the text embedding
space to guide the model away from harmful outputs. We conduct extensive
experiments across various concept unlearning tasks to evaluate the
effectiveness of our approach. Furthermore, we benchmark SteerDiff against
multiple red-teaming strategies to assess its robustness. Finally, we explore
the potential of SteerDiff for concept forgetting tasks, demonstrating its
versatility in text-conditioned image generation.",http://arxiv.org/pdf/2410.02710v1
Discovering Clues of Spoofed LM Watermarks,"Thibaud Gloaguen, Nikola Jovanović, Robin Staab, Martin Vechev",2024-10-03,"LLM watermarks stand out as a promising way to attribute ownership of
LLM-generated text. One threat to watermark credibility comes from spoofing
attacks, where an unauthorized third party forges the watermark, enabling it to
falsely attribute arbitrary texts to a particular LLM. While recent works have
demonstrated that state-of-the-art schemes are in fact vulnerable to spoofing,
they lack deeper qualitative analysis of the texts produced by spoofing
methods. In this work, we for the first time reveal that there are observable
differences between genuine and spoofed watermark texts. Namely, we show that
regardless of their underlying approach, all current spoofing methods
consistently leave observable artifacts in spoofed texts, indicative of
watermark forgery. We build upon these findings to propose rigorous statistical
tests that reliably reveal the presence of such artifacts, effectively
discovering that a watermark was spoofed. Our experimental evaluation shows
high test power across all current spoofing methods, providing insights into
their fundamental limitations, and suggesting a way to mitigate this threat.",http://arxiv.org/pdf/2410.02693v1
Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,"Hanrong Zhang, Jingyuan Huang, Kai Mei, Yifei Yao, Zhenting Wang, Chenlu Zhan, Hongwei Wang, Yongfeng Zhang",2024-10-03,"Although LLM-based agents, powered by Large Language Models (LLMs), can use
external tools and memory mechanisms to solve complex real-world tasks, they
may also introduce critical security vulnerabilities. However, the existing
literature does not comprehensively evaluate attacks and defenses against
LLM-based agents. To address this, we introduce Agent Security Bench (ASB), a
comprehensive framework designed to formalize, benchmark, and evaluate the
attacks and defenses of LLM-based agents, including 10 scenarios (e.g.,
e-commerce, autonomous driving, finance), 10 agents targeting the scenarios,
over 400 tools, 23 different types of attack/defense methods, and 8 evaluation
metrics. Based on ASB, we benchmark 10 prompt injection attacks, a memory
poisoning attack, a novel Plan-of-Thought backdoor attack, a mixed attack, and
10 corresponding defenses across 13 LLM backbones with nearly 90,000 testing
cases in total. Our benchmark results reveal critical vulnerabilities in
different stages of agent operation, including system prompt, user prompt
handling, tool usage, and memory retrieval, with the highest average attack
success rate of 84.30\%, but limited effectiveness shown in current defenses,
unveiling important works to be done in terms of agent security for the
community. Our code can be found at https://github.com/agiresearch/ASB.",http://arxiv.org/pdf/2410.02644v1
Inapproximability of Sparsest Vector in a Real Subspace,"Vijay Bhattiprolu, Euiwoong Lee",2024-10-03,"We establish strong inapproximability for finding the sparsest nonzero vector
in a real subspace. We show that it is NP-Hard (under randomized reductions) to
approximate the sparsest vector in a subspace within any constant factor (or
almost polynomial factors in quasipolynomial time). We recover as a corollary
state of the art inapproximability for the shortest vector problem (SVP), a
foundational problem in lattice based cryptography. Our proof is surprisingly
simple, bypassing even the PCP theorem. We are inspired by the homogenization
framework from the inapproximability theory of minimum distance problems (MDC)
in integer lattices and error correcting codes. We use a combination of (a)
\emph{product testing via tensor codes} and (b) \emph{encoding an assignment as
a coset of a random code in higher dimensional space} in order to embed
non-homogeneous quadratic equations into the sparsest vector problem. (a) is
inspired by Austrin and Khot's simplified proof of hardness of MDC over finite
fields, and (b) is inspired by Micciancio's semi-derandomization of hardness of
SVP. Our reduction involves the challenge of performing (a) over the reals. We
prove that tensoring of the kernel of a +1/-1 random matrix furnishes an
adequate product test (while still allowing (b)). The proof exposes a
connection to Littlewood-Offord theory and relies on a powerful
anticoncentration result of Rudelson and Vershynin. Our main motivation in this
work is the development of inapproximability theory for problems over the
reals. Analytic variants of sparsest vector have connections to small set
expansion, quantum separability and polynomial maximization over convex sets,
all of which cause similar barriers to inapproximability. The approach we
develop could lead to progress on the hardness of some of these problems.",http://arxiv.org/pdf/2410.02636v1
Assessing the Viability of Synthetic Physical Copy Detection Patterns on Different Imaging Systems,"Roman Chaban, Brian Pulfer, Slava Voloshynovskiy",2024-10-03,"This paper explores the potential of synthetic physical Copy Detection
Patterns (CDP) to improve the robustness of anti-counterfeiting systems. By
leveraging synthetic physical CDP, we aim at enhancing security and
cost-effectiveness across various real-world applications. Our research
demonstrates that synthetic CDP offer substantial improvements in
authentication accuracy compared to one based on traditional digital templates.
We conducted extensive tests using both a scanner and a diverse range of mobile
phones, validating our approach through ROC analysis. The results indicate that
synthetic CDP can reliably differentiate between original and fake samples,
making this approach a viable solution for real-world applications, though
requires an additional research to make this technology scalable across a
variety of imaging devices.",http://arxiv.org/pdf/2410.02575v1
Exploiting HDMI and USB Ports for GPU Side-Channel Insights,"Sayed Erfan Arefin, Abdul Serwadda",2024-10-03,"Modern computers rely on USB and HDMI ports for connecting external
peripherals and display devices. Despite their built-in security measures,
these ports remain susceptible to passive power-based side-channel attacks.
This paper presents a new class of attacks that exploit power consumption
patterns at these ports to infer GPU activities. We develop a custom device
that plugs into these ports and demonstrate that its high-resolution power
measurements can drive successful inferences about GPU processes, such as
neural network computations and video rendering. The ubiquitous presence of USB
and HDMI ports allows for discreet placement of the device, and its
non-interference with data channels ensures that no security alerts are
triggered. Our findings underscore the need to reevaluate and strengthen the
current generation of HDMI and USB port security defenses.",http://arxiv.org/pdf/2410.02539v1
An Edge-Computing based Industrial Gateway for Industry 4.0 using ARM TrustZone Technology,Sandeep Gupta,2024-10-03,"Secure and efficient communication to establish a seamless nexus between the
five levels of a typical automation pyramid is paramount to Industry 4.0.
Specifically, vertical and horizontal integration of these levels is an
overarching requirement to accelerate productivity and improve operational
activities. Vertical integration can improve visibility, flexibility, and
productivity by connecting systems and applications. Horizontal integration can
provide better collaboration and adaptability by connecting internal production
facilities, multi-site operations, and third-party partners in a supply chain.
In this paper, we propose an Edge-computing-based Industrial Gateway for
interfacing information technology and operational technology that can enable
Industry 4.0 vertical and horizontal integration. Subsequently, we design and
develop a working prototype to demonstrate a remote production-line maintenance
use case with a strong focus on security aspects and the edge paradigm to bring
computational resources and data storage closer to data sources.",http://arxiv.org/pdf/2410.02529v1
Encryption-Friendly LLM Architecture,"Donghwan Rho, Taeseong Kim, Minje Park, Jung Woo Kim, Hyunsik Chae, Jung Hee Cheon, Ernest K. Ryu",2024-10-03,"Large language models (LLMs) offer personalized responses based on user
interactions, but this use case raises serious privacy concerns. Homomorphic
encryption (HE) is a cryptographic protocol supporting arithmetic computations
in encrypted states and provides a potential solution for privacy-preserving
machine learning (PPML). However, the computational intensity of transformers
poses challenges for applying HE to LLMs. In this work, we propose a modified
HE-friendly transformer architecture with an emphasis on inference following
personalized (private) fine-tuning. Utilizing LoRA fine-tuning and Gaussian
kernels, we achieve significant computational speedups -- 6.94x for fine-tuning
and 2.3x for inference -- while maintaining performance comparable to plaintext
models. Our findings provide a viable proof of concept for offering
privacy-preserving LLM services in areas where data protection is crucial.",http://arxiv.org/pdf/2410.02486v1
Towards a Theoretical Understanding of Memorization in Diffusion Models,"Yunhao Chen, Xingjun Ma, Difan Zou, Yu-Gang Jiang",2024-10-03,"As diffusion probabilistic models (DPMs) are being employed as mainstream
models for Generative Artificial Intelligence (GenAI), the study of their
memorization of training data has attracted growing attention. Existing works
in this direction aim to establish an understanding of whether or to what
extent DPMs learn via memorization. Such an understanding is crucial for
identifying potential risks of data leakage and copyright infringement in
diffusion models and, more importantly, for trustworthy application of GenAI.
Existing works revealed that conditional DPMs are more prone to training data
memorization than unconditional DPMs, and the motivated data extraction methods
are mostly for conditional DPMs. However, these understandings are primarily
empirical, and extracting training data from unconditional models has been
found to be extremely challenging. In this work, we provide a theoretical
understanding of memorization in both conditional and unconditional DPMs under
the assumption of model convergence. Our theoretical analysis indicates that
extracting data from unconditional models can also be effective by constructing
a proper surrogate condition. Based on this result, we propose a novel data
extraction method named \textbf{Surrogate condItional Data Extraction (SIDE)}
that leverages a time-dependent classifier trained on the generated data as a
surrogate condition to extract training data from unconditional DPMs. Empirical
results demonstrate that our SIDE can extract training data in challenging
scenarios where previous methods fail, and it is, on average, over 50\% more
effective across different scales of the CelebA dataset.",http://arxiv.org/pdf/2410.02467v1
