title,authors,published,summary,url
FedStein: Enhancing Multi-Domain Federated Learning Through James-Stein Estimator,"Sunny Gupta, Nikita Jangid, Amit Sethi",2024-10-04,"Federated Learning (FL) facilitates data privacy by enabling collaborative
in-situ training across decentralized clients. Despite its inherent advantages,
FL faces significant challenges of performance and convergence when dealing
with data that is not independently and identically distributed (non-i.i.d.).
While previous research has primarily addressed the issue of skewed label
distribution across clients, this study focuses on the less explored challenge
of multi-domain FL, where client data originates from distinct domains with
varying feature distributions. We introduce a novel method designed to address
these challenges FedStein: Enhancing Multi-Domain Federated Learning Through
the James-Stein Estimator. FedStein uniquely shares only the James-Stein (JS)
estimates of batch normalization (BN) statistics across clients, while
maintaining local BN parameters. The non-BN layer parameters are exchanged via
standard FL techniques. Extensive experiments conducted across three datasets
and multiple models demonstrate that FedStein surpasses existing methods such
as FedAvg and FedBN, with accuracy improvements exceeding 14% in certain
domains leading to enhanced domain generalization. The code is available at
https://github.com/sunnyinAI/FedStein",http://arxiv.org/pdf/2410.03499v1
Generative Artificial Intelligence for Navigating Synthesizable Chemical Space,"Wenhao Gao, Shitong Luo, Connor W. Coley",2024-10-04,"We introduce SynFormer, a generative modeling framework designed to
efficiently explore and navigate synthesizable chemical space. Unlike
traditional molecular generation approaches, we generate synthetic pathways for
molecules to ensure that designs are synthetically tractable. By incorporating
a scalable transformer architecture and a diffusion module for building block
selection, SynFormer surpasses existing models in synthesizable molecular
design. We demonstrate SynFormer's effectiveness in two key applications: (1)
local chemical space exploration, where the model generates synthesizable
analogs of a reference molecule, and (2) global chemical space exploration,
where the model aims to identify optimal molecules according to a black-box
property prediction oracle. Additionally, we demonstrate the scalability of our
approach via the improvement in performance as more computational resources
become available. With our code and trained models openly available, we hope
that SynFormer will find use across applications in drug discovery and
materials science.",http://arxiv.org/pdf/2410.03494v1
A Multimodal Framework for Deepfake Detection,"Kashish Gandhi, Prutha Kulkarni, Taran Shah, Piyush Chaudhari, Meera Narvekar, Kranti Ghag",2024-10-04,"The rapid advancement of deepfake technology poses a significant threat to
digital media integrity. Deepfakes, synthetic media created using AI, can
convincingly alter videos and audio to misrepresent reality. This creates risks
of misinformation, fraud, and severe implications for personal privacy and
security. Our research addresses the critical issue of deepfakes through an
innovative multimodal approach, targeting both visual and auditory elements.
This comprehensive strategy recognizes that human perception integrates
multiple sensory inputs, particularly visual and auditory information, to form
a complete understanding of media content. For visual analysis, a model that
employs advanced feature extraction techniques was developed, extracting nine
distinct facial characteristics and then applying various machine learning and
deep learning models. For auditory analysis, our model leverages
mel-spectrogram analysis for feature extraction and then applies various
machine learning and deep learningmodels. To achieve a combined analysis, real
and deepfake audio in the original dataset were swapped for testing purposes
and ensured balanced samples. Using our proposed models for video and audio
classification i.e. Artificial Neural Network and VGG19, the overall sample is
classified as deepfake if either component is identified as such. Our
multimodal framework combines visual and auditory analyses, yielding an
accuracy of 94%.",http://arxiv.org/pdf/2410.03487v1
Group Fairness in Peer Review,"Haris Aziz, Evi Micha, Nisarg Shah",2024-10-04,"Large conferences such as NeurIPS and AAAI serve as crossroads of various AI
fields, since they attract submissions from a vast number of communities.
However, in some cases, this has resulted in a poor reviewing experience for
some communities, whose submissions get assigned to less qualified reviewers
outside of their communities. An often-advocated solution is to break up any
such large conference into smaller conferences, but this can lead to isolation
of communities and harm interdisciplinary research. We tackle this challenge by
introducing a notion of group fairness, called the core, which requires that
every possible community (subset of researchers) to be treated in a way that
prevents them from unilaterally benefiting by withdrawing from a large
conference.
  We study a simple peer review model, prove that it always admits a reviewing
assignment in the core, and design an efficient algorithm to find one such
assignment. We use real data from CVPR and ICLR conferences to compare our
algorithm to existing reviewing assignment algorithms on a number of metrics.",http://arxiv.org/pdf/2410.03474v1
Vulnerability Detection via Topological Analysis of Attention Maps,"Pavel Snopov, Andrey Nikolaevich Golubinskiy",2024-10-04,"Recently, deep learning (DL) approaches to vulnerability detection have
gained significant traction. These methods demonstrate promising results, often
surpassing traditional static code analysis tools in effectiveness.
  In this study, we explore a novel approach to vulnerability detection
utilizing the tools from topological data analysis (TDA) on the attention
matrices of the BERT model. Our findings reveal that traditional machine
learning (ML) techniques, when trained on the topological features extracted
from these attention matrices, can perform competitively with pre-trained
language models (LLMs) such as CodeBERTa. This suggests that TDA tools,
including persistent homology, are capable of effectively capturing semantic
information critical for identifying vulnerabilities.",http://arxiv.org/pdf/2410.03470v1
Diffusion State-Guided Projected Gradient for Inverse Problems,"Rayhan Zirvi, Bahareh Tolooshams, Anima Anandkumar",2024-10-04,"Recent advancements in diffusion models have been effective in learning data
priors for solving inverse problems. They leverage diffusion sampling steps for
inducing a data prior while using a measurement guidance gradient at each step
to impose data consistency. For general inverse problems, approximations are
needed when an unconditionally trained diffusion model is used since the
measurement likelihood is intractable, leading to inaccurate posterior
sampling. In other words, due to their approximations, these methods fail to
preserve the generation process on the data manifold defined by the diffusion
prior, leading to artifacts in applications such as image restoration. To
enhance the performance and robustness of diffusion models in solving inverse
problems, we propose Diffusion State-Guided Projected Gradient (DiffStateGrad),
which projects the measurement gradient onto a subspace that is a low-rank
approximation of an intermediate state of the diffusion process. DiffStateGrad,
as a module, can be added to a wide range of diffusion-based inverse solvers to
improve the preservation of the diffusion process on the prior manifold and
filter out artifact-inducing components. We highlight that DiffStateGrad
improves the robustness of diffusion models in terms of the choice of
measurement guidance step size and noise while improving the worst-case
performance. Finally, we demonstrate that DiffStateGrad improves upon the
state-of-the-art on linear and nonlinear image restoration inverse problems.",http://arxiv.org/pdf/2410.03463v1
How Toxicity Classifiers and Large Language Models Respond to Ableism,"Mahika Phutane, Ananya Seelam, Aditya Vashistha",2024-10-04,"People with disabilities (PwD) regularly encounter ableist hate and
microaggressions online. While online platforms use machine learning models to
moderate online harm, there is little research investigating how these models
interact with ableism. In this paper, we curated a dataset of 100 social media
comments targeted towards PwD, and recruited 160 participants to rate and
explain how toxic and ableist these comments were. We then prompted
state-of-the art toxicity classifiers (TCs) and large language models (LLMs) to
rate and explain the harm. Our analysis revealed that TCs and LLMs rated
toxicity significantly lower than PwD, but LLMs rated ableism generally on par
with PwD. However, ableism explanations by LLMs overlooked emotional harm, and
lacked specificity and acknowledgement of context, important facets of PwD
explanations. Going forward, we discuss challenges in designing
disability-aware toxicity classifiers, and advocate for the shift from ableism
detection to ableism interpretation and explanation.",http://arxiv.org/pdf/2410.03448v1
A General Framework for Producing Interpretable Semantic Text Embeddings,"Yiqun Sun, Qiang Huang, Yixuan Tang, Anthony K. H. Tung, Jun Yu",2024-10-04,"Semantic text embedding is essential to many tasks in Natural Language
Processing (NLP). While black-box models are capable of generating high-quality
embeddings, their lack of interpretability limits their use in tasks that
demand transparency. Recent approaches have improved interpretability by
leveraging domain-expert-crafted or LLM-generated questions, but these methods
rely heavily on expert input or well-prompt design, which restricts their
generalizability and ability to generate discriminative questions across a wide
range of tasks. To address these challenges, we introduce \algo{CQG-MBQA}
(Contrastive Question Generation - Multi-task Binary Question Answering), a
general framework for producing interpretable semantic text embeddings across
diverse tasks. Our framework systematically generates highly discriminative,
low cognitive load yes/no questions through the \algo{CQG} method and answers
them efficiently with the \algo{MBQA} model, resulting in interpretable
embeddings in a cost-effective manner. We validate the effectiveness and
interpretability of \algo{CQG-MBQA} through extensive experiments and ablation
studies, demonstrating that it delivers embedding quality comparable to many
advanced black-box models while maintaining inherently interpretability.
Additionally, \algo{CQG-MBQA} outperforms other interpretable text embedding
methods across various downstream tasks.",http://arxiv.org/pdf/2410.03435v1
EB-NeRD: A Large-Scale Dataset for News Recommendation,"Johannes Kruse, Kasper Lindskow, Saikishore Kalloori, Marco Polignano, Claudio Pomo, Abhishek Srivastava, Anshuk Uppal, Michael Riis Andersen, Jes Frellsen",2024-10-04,"Personalized content recommendations have been pivotal to the content
experience in digital media from video streaming to social networks. However,
several domain specific challenges have held back adoption of recommender
systems in news publishing. To address these challenges, we introduce the
Ekstra Bladet News Recommendation Dataset (EB-NeRD). The dataset encompasses
data from over a million unique users and more than 37 million impression logs
from Ekstra Bladet. It also includes a collection of over 125,000 Danish news
articles, complete with titles, abstracts, bodies, and metadata, such as
categories. EB-NeRD served as the benchmark dataset for the RecSys '24
Challenge, where it was demonstrated how the dataset can be used to address
both technical and normative challenges in designing effective and responsible
recommender systems for news publishing. The dataset is available at:
https://recsys.eb.dk.",http://arxiv.org/pdf/2410.03432v1
Cayley Graph Propagation,"JJ Wilson, Maya Bechler-Speicher, Petar Veličković",2024-10-04,"In spite of the plethora of success stories with graph neural networks (GNNs)
on modelling graph-structured data, they are notoriously vulnerable to
over-squashing, whereby tasks necessitate the mixing of information between
distance pairs of nodes. To address this problem, prior work suggests rewiring
the graph structure to improve information flow. Alternatively, a significant
body of research has dedicated itself to discovering and precomputing
bottleneck-free graph structures to ameliorate over-squashing. One well
regarded family of bottleneck-free graphs within the mathematical community are
expander graphs, with prior work$\unicode{x2014}$Expander Graph Propagation
(EGP)$\unicode{x2014}$proposing the use of a well-known expander graph
family$\unicode{x2014}$the Cayley graphs of the $\mathrm{SL}(2,\mathbb{Z}_n)$
special linear group$\unicode{x2014}$as a computational template for GNNs.
However, in EGP the computational graphs used are truncated to align with a
given input graph. In this work, we show that truncation is detrimental to the
coveted expansion properties. Instead, we propose CGP, a method to propagate
information over a complete Cayley graph structure, thereby ensuring it is
bottleneck-free to better alleviate over-squashing. Our empirical evidence
across several real-world datasets not only shows that CGP recovers significant
improvements as compared to EGP, but it is also akin to or outperforms
computationally complex graph rewiring techniques.",http://arxiv.org/pdf/2410.03424v1
Towards Real-time Intrahepatic Vessel Identification in Intraoperative Ultrasound-Guided Liver Surgery,"Karl-Philippe Beaudet, Alexandros Karargyris, Sidaty El Hadramy, Stéphane Cotin, Jean-Paul Mazellier, Nicolas Padoy, Juan Verde",2024-10-04,"While laparoscopic liver resection is less prone to complications and
maintains patient outcomes compared to traditional open surgery, its complexity
hinders widespread adoption due to challenges in representing the liver's
internal structure. Laparoscopic intraoperative ultrasound offers efficient,
cost-effective and radiation-free guidance. Our objective is to aid physicians
in identifying internal liver structures using laparoscopic intraoperative
ultrasound. We propose a patient-specific approach using preoperative 3D
ultrasound liver volume to train a deep learning model for real-time
identification of portal tree and branch structures. Our personalized AI model,
validated on ex vivo swine livers, achieved superior precision (0.95) and
recall (0.93) compared to surgeons, laying groundwork for precise vessel
identification in ultrasound-based liver resection. Its adaptability and
potential clinical impact promise to advance surgical interventions and improve
patient care.",http://arxiv.org/pdf/2410.03420v1
Comparative study of regression vs pairwise models for surrogate-based heuristic optimisation,"Pablo S. Naharro, Pablo Toharia, Antonio LaTorre, José-María Peña",2024-10-04,"Heuristic optimisation algorithms explore the search space by sampling
solutions, evaluating their fitness, and biasing the search in the direction of
promising solutions. However, in many cases, this fitness function involves
executing expensive computational calculations, drastically reducing the
reasonable number of evaluations. In this context, surrogate models have
emerged as an excellent alternative to alleviate these computational problems.
This paper addresses the formulation of surrogate problems as both regression
models that approximate fitness (surface surrogate models) and a novel way to
connect classification models (pairwise surrogate models). The pairwise
approach can be directly exploited by some algorithms, such as Differential
Evolution, in which the fitness value is not actually needed to drive the
search, and it is sufficient to know whether a solution is better than another
one or not. Based on these modelling approaches, we have conducted a
multidimensional analysis of surrogate models under different configurations:
different machine learning algorithms (regularised regression, neural networks,
decision trees, boosting methods, and random forests), different surrogate
strategies (encouraging diversity or relaxing prediction thresholds), and
compare them for both surface and pairwise surrogate models. The experimental
part of the article includes the benchmark problems already proposed for the
SOCO2011 competition in continuous optimisation and a simulation problem
included in the recent GECCO2021 Industrial Challenge. This paper shows that
the performance of the overall search, when using online machine learning-based
surrogate models, depends not only on the accuracy of the predictive model but
also on both the kind of bias towards positive or negative cases and how the
optimisation uses those predictions to decide whether to execute the actual
fitness function.",http://arxiv.org/pdf/2410.03409v1
EBES: Easy Benchmarking for Event Sequences,"Dmitry Osin, Igor Udovichenko, Viktor Moskvoretskii, Egor Shvetsov, Evgeny Burnaev",2024-10-04,"Event sequences, characterized by irregular sampling intervals and a mix of
categorical and numerical features, are common data structures in various
real-world domains such as healthcare, finance, and user interaction logs.
Despite advances in temporal data modeling techniques, there is no standardized
benchmarks for evaluating their performance on event sequences. This
complicates result comparison across different papers due to varying evaluation
protocols, potentially misleading progress in this field. We introduce EBES, a
comprehensive benchmarking tool with standardized evaluation scenarios and
protocols, focusing on regression and classification problems with
sequence-level targets. Our library simplifies benchmarking, dataset addition,
and method integration through a unified interface. It includes a novel
synthetic dataset and provides preprocessed real-world datasets, including the
largest publicly available banking dataset. Our results provide an in-depth
analysis of datasets, identifying some as unsuitable for model comparison. We
investigate the importance of modeling temporal and sequential components, as
well as the robustness and scaling properties of the models. These findings
highlight potential directions for future research. Our benchmark aim is to
facilitate reproducible research, expediting progress and increasing real-world
impacts.",http://arxiv.org/pdf/2410.03399v1
GraphCroc: Cross-Correlation Autoencoder for Graph Structural Reconstruction,"Shijin Duan, Ruyi Ding, Jiaxing He, Aidong Adam Ding, Yunsi Fei, Xiaolin Xu",2024-10-04,"Graph-structured data is integral to many applications, prompting the
development of various graph representation methods. Graph autoencoders (GAEs),
in particular, reconstruct graph structures from node embeddings. Current GAE
models primarily utilize self-correlation to represent graph structures and
focus on node-level tasks, often overlooking multi-graph scenarios. Our
theoretical analysis indicates that self-correlation generally falls short in
accurately representing specific graph features such as islands, symmetrical
structures, and directional edges, particularly in smaller or multiple graph
contexts. To address these limitations, we introduce a cross-correlation
mechanism that significantly enhances the GAE representational capabilities.
Additionally, we propose GraphCroc, a new GAE that supports flexible encoder
architectures tailored for various downstream tasks and ensures robust
structural reconstruction, through a mirrored encoding-decoding process. This
model also tackles the challenge of representation bias during optimization by
implementing a loss-balancing strategy. Both theoretical analysis and numerical
evaluations demonstrate that our methodology significantly outperforms existing
self-correlation-based GAEs in graph structure reconstruction.",http://arxiv.org/pdf/2410.03396v1
Predicting perturbation targets with causal differential networks,"Menghua Wu, Umesh Padia, Sean H. Murphy, Regina Barzilay, Tommi Jaakkola",2024-10-04,"Rationally identifying variables responsible for changes to a biological
system can enable myriad applications in disease understanding and cell
engineering. From a causality perspective, we are given two datasets generated
by the same causal model, one observational (control) and one interventional
(perturbed). The goal is to isolate the subset of measured variables (e.g.
genes) that were the targets of the intervention, i.e. those whose conditional
independencies have changed. Knowing the causal graph would limit the search
space, allowing us to efficiently pinpoint these variables. However, current
algorithms that infer causal graphs in the presence of unknown intervention
targets scale poorly to the hundreds or thousands of variables in biological
data, as they must jointly search the combinatorial spaces of graphs and
consistent intervention targets. In this work, we propose a causality-inspired
approach for predicting perturbation targets that decouples the two search
steps. First, we use an amortized causal discovery model to separately infer
causal graphs from the observational and interventional datasets. Then, we
learn to map these paired graphs to the sets of variables that were intervened
upon, in a supervised learning framework. This approach consistently
outperforms baselines for perturbation modeling on seven single-cell
transcriptomics datasets, each with thousands of measured variables. We also
demonstrate significant improvements over six causal discovery algorithms in
predicting intervention targets across a variety of tractable, synthetic
datasets.",http://arxiv.org/pdf/2410.03380v1
Mitigating Adversarial Perturbations for Deep Reinforcement Learning via Vector Quantization,"Tung M. Luu, Thanh Nguyen, Tee Joshua Tian Jin, Sungwoon Kim, Chang D. Yoo",2024-10-04,"Recent studies reveal that well-performing reinforcement learning (RL) agents
in training often lack resilience against adversarial perturbations during
deployment. This highlights the importance of building a robust agent before
deploying it in the real world. Most prior works focus on developing robust
training-based procedures to tackle this problem, including enhancing the
robustness of the deep neural network component itself or adversarially
training the agent on strong attacks. In this work, we instead study an input
transformation-based defense for RL. Specifically, we propose using a variant
of vector quantization (VQ) as a transformation for input observations, which
is then used to reduce the space of adversarial attacks during testing,
resulting in the transformed observations being less affected by attacks. Our
method is computationally efficient and seamlessly integrates with adversarial
training, further enhancing the robustness of RL agents against adversarial
attacks. Through extensive experiments in multiple environments, we demonstrate
that using VQ as the input transformation effectively defends against
adversarial attacks on the agent's observations.",http://arxiv.org/pdf/2410.03376v1
SoundSignature: What Type of Music Do You Like?,"Brandon James Carone, Pablo Ripollés",2024-10-04,"SoundSignature is a music application that integrates a custom OpenAI
Assistant to analyze users' favorite songs. The system incorporates
state-of-the-art Music Information Retrieval (MIR) Python packages to combine
extracted acoustic/musical features with the assistant's extensive knowledge of
the artists and bands. Capitalizing on this combined knowledge, SoundSignature
leverages semantic audio and principles from the emerging Internet of Sounds
(IoS) ecosystem, integrating MIR with AI to provide users with personalized
insights into the acoustic properties of their music, akin to a musical
preference personality report. Users can then interact with the chatbot to
explore deeper inquiries about the acoustic analyses performed and how they
relate to their musical taste. This interactivity transforms the application,
acting not only as an informative resource about familiar and/or favorite
songs, but also as an educational platform that enables users to deepen their
understanding of musical features, music theory, acoustic properties commonly
used in signal processing, and the artists behind the music. Beyond general
usability, the application also incorporates several well-established
open-source musician-specific tools, such as a chord recognition algorithm
(CREMA), a source separation algorithm (DEMUCS), and an audio-to-MIDI converter
(basic-pitch). These features allow users without coding skills to access
advanced, open-source music processing algorithms simply by interacting with
the chatbot (e.g., can you give me the stems of this song?). In this paper, we
highlight the application's innovative features and educational potential, and
present findings from a pilot user study that evaluates its efficacy and
usability.",http://arxiv.org/pdf/2410.03375v1
